Player,Team,years_with_team,draft_pos,all_star,num_teams,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ig_followers,resigned,Agent
Jarrett Culver,17,2,6,0,1,22,34,7,27,14.7,5.3,2.0,4.9,41.1,0.4,1.6,24.5,0.9,1.4,60.4,1.0,2.1,3.1,0.7,0.8,0.5,0.3,1.7,11.5,1.0,0.0,-3.9,0,1,0.0
Tremont Waters,9,2,51,0,1,23,26,13,13,9.1,3.8,1.3,3.2,40.5,0.6,1.5,39.5,0.6,0.7,94.1,0.2,0.6,0.8,2.4,1.0,0.6,0.0,0.7,9.2,0.0,0.0,-0.4,0,0,0.0
Bojan Bogdanovic,10,2,31,0,4,32,72,52,20,30.8,17.0,5.6,12.8,43.9,2.5,6.4,39.0,3.2,3.7,87.9,0.6,3.3,3.9,1.9,1.8,0.6,0.1,1.6,24.8,0.0,0.0,5.8,0,1,0.0
Mike Conley,10,2,4,1,2,33,51,37,14,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,0.7,2.8,3.5,6.0,1.9,1.4,0.2,1.9,32.1,6.0,0.0,10.7,585748,1,64.0
Torrey Craig,12,1,61,0,4,30,50,33,17,16.1,5.5,2.2,4.5,48.0,0.8,2.1,36.8,0.3,0.4,77.3,1.1,2.8,3.9,1.0,0.5,0.6,0.5,1.7,14.5,2.0,0.0,-1.9,136870,0,9.0
Cedi Osman,18,4,31,0,1,26,59,17,42,25.6,10.4,3.7,9.9,37.4,1.7,5.5,30.6,1.3,1.6,80.0,0.6,2.8,3.4,2.9,1.4,0.9,0.2,2.0,20.7,2.0,0.0,-5.5,0,1,0.0
Furkan Korkmaz,3,4,26,0,1,23,55,39,16,19.3,9.1,3.1,7.7,40.1,1.8,4.9,37.5,1.1,1.5,73.2,0.3,1.7,2.1,1.5,0.8,0.9,0.2,1.2,16.1,0.0,0.0,2.6,0,1,0.0
Kyle Anderson,28,3,30,0,2,27,69,36,33,27.4,12.4,4.5,9.5,46.8,1.4,3.8,36.0,2.1,2.7,78.3,0.8,5.0,5.7,3.6,1.2,1.2,0.8,1.7,29.6,3.0,0.0,0.7,183982,1,39.0
Shai Gilgeous-Alexander,20,1,11,0,2,22,35,16,19,33.7,23.7,8.2,16.1,50.8,2.0,4.9,41.8,5.3,6.5,80.8,0.5,4.2,4.7,5.9,3.0,0.8,0.7,2.0,39.5,3.0,0.0,-5.3,4018932,1,0.0
Aleksej Pokusevski,20,1,17,0,1,19,45,13,32,24.2,8.2,3.1,9.1,34.1,1.3,4.6,28.0,0.7,0.9,73.8,0.7,4.0,4.7,2.2,2.2,0.4,0.9,1.3,19.0,1.0,0.0,-8.7,0,1,0.0
Damion Lee,0,3,61,0,2,28,57,28,29,18.9,6.5,2.2,4.8,46.7,1.4,3.4,39.7,0.7,0.8,90.9,0.4,2.8,3.2,1.3,0.5,0.7,0.1,1.6,14.1,0.0,0.0,0.7,277370,1,24.0
Eric Paschall,0,2,41,0,2,24,40,20,20,17.4,9.5,3.7,7.5,49.7,0.5,1.4,33.3,1.7,2.4,71.3,0.7,2.5,3.2,1.3,1.1,0.3,0.2,1.7,15.6,0.0,0.0,-2.8,0,1,0.0
James Ennis,29,1,50,0,7,30,41,12,29,24.1,8.4,2.8,5.9,47.3,1.1,2.5,43.3,1.7,2.1,80.5,1.0,3.0,4.0,1.5,0.9,0.8,0.2,2.0,17.5,1.0,0.0,-1.8,0,1,0.0
Lonzo Ball,7,2,2,0,2,23,55,23,32,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,0.6,4.2,4.8,5.7,2.2,1.5,0.6,1.9,32.9,5.0,1.0,0.9,18281980,0,6.0
Caleb Martin,27,2,61,0,1,25,53,23,30,15.4,5.0,1.8,4.8,37.5,0.6,2.4,24.8,0.8,1.2,64.1,0.6,2.1,2.7,1.3,0.6,0.7,0.2,1.2,12.2,1.0,0.0,-1.9,224326,0,74.0
Jared Harper,19,1,61,0,2,23,8,5,3,2.0,0.4,0.0,0.5,0.0,0.0,0.1,0.0,0.4,0.5,75.0,0.0,0.3,0.3,0.1,0.4,0.0,0.0,0.1,0.5,0.0,0.0,-0.6,0,1,0.0
Markus Howard,11,1,61,0,1,22,37,24,13,5.5,2.8,1.1,2.9,37.7,0.5,1.8,27.7,0.2,0.2,77.8,0.0,0.5,0.6,0.5,0.5,0.1,0.0,0.6,4.2,0.0,0.0,-1.9,0,1,0.0
Shaquille Harrison,11,1,61,0,4,27,34,27,7,9.8,2.1,0.8,2.3,33.3,0.1,0.5,18.8,0.5,0.6,81.8,0.2,1.2,1.4,0.7,0.3,0.5,0.1,1.0,6.6,0.0,0.0,-2.2,0,0,0.0
Rodney McGruder,21,1,61,0,3,29,16,3,13,12.1,5.7,2.3,4.4,52.9,0.7,1.5,45.8,0.4,0.5,75.0,0.5,0.9,1.4,1.0,0.4,0.5,0.1,0.8,10.1,0.0,0.0,-1.1,0,1,0.0
