Player;Team;years_with_team;draft_pos;all_star;num_teams;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;ig_followers;resigned;Agent
Jae Crowder;PHX;1;34;0;7;30;60;42;18;27.5;10.1;3.3;8.2;40.4;2.5;6.3;38.9;1.0;1.3;76.0;0.5;4.2;4.7;2.1;0.9;0.8;0.5;2.1;21.7;0.0;0.0;3.6;0;1;108.0
Bryn Forbes;MIL;1;61;0;2;27;70;45;25;19.3;10.0;3.6;7.6;47.3;2.2;4.9;45.2;0.7;0.9;77.0;0.2;1.4;1.6;0.6;0.6;0.3;0.0;1.1;13.3;1.0;0.0;1.4;0;0;0.0
Gary Harris;ORL;1;19;0;2;26;39;15;24;27.7;9.9;3.5;8.8;40.0;1.2;3.6;34.0;1.6;2.0;82.1;0.5;1.5;2.0;2.0;0.9;0.7;0.3;1.8;17.4;0.0;0.0;-2.1;139 499;1;5.0
Dorian Finney-Smith;DAL;5;61;0;1;28;60;36;24;32.0;9.8;3.7;7.8;47.2;2.0;5.0;39.4;0.5;0.7;75.6;1.6;3.8;5.4;1.7;0.8;0.9;0.4;2.3;22.0;1.0;0.0;3.3;153 629;1;0.0
Frank Jackson;DET;1;31;0;3;23;40;13;27;18.5;9.8;3.4;7.3;45.7;1.5;3.8;40.7;1.5;1.9;81.3;0.4;1.8;2.2;0.9;0.9;0.4;0.0;1.3;14.0;0.0;0.0;-0.3;0;1;0.0
Kentavious Caldwell-Pope;LAL;4;8;0;2;28;67;39;28;28.4;9.7;3.3;7.6;43.1;1.8;4.4;41.0;1.4;1.7;86.6;0.4;2.3;2.7;1.9;1.0;0.9;0.4;1.7;18.8;1.0;0.0;2.1;1 314 032;1;6.0
Mike Muscala;OKC;2;44;0;3;29;35;15;20;18.4;9.7;3.4;7.6;44.6;1.9;5.3;37.0;0.9;1.0;91.7;0.5;3.2;3.8;0.8;0.6;0.2;0.3;1.5;16.4;0.0;0.0;0.5;0;1;0.0
Otto Porter Jr.;ORL;2;3;0;3;28;28;12;16;21.7;9.7;3.5;8.1;43.2;1.4;3.7;37.5;1.3;1.5;85.7;1.0;4.4;5.4;2.0;0.9;0.6;0.1;1.5;20.4;2.0;0.0;-1.5;0;0;0.0
Daniel Theis;CHI;1;61;0;3;29;65;28;37;24.6;9.6;3.9;7.2;54.1;0.8;2.3;32.2;1.1;1.7;67.3;1.4;4.0;5.5;1.7;1.0;0.6;0.9;2.6;22.2;6.0;0.0;-0.5;178 848;0;0.0
Isaac Okoro;CLE;1;5;0;1;20;67;20;47;32.4;9.6;3.5;8.3;42.0;0.9;3.2;29.0;1.7;2.3;72.6;1.0;2.1;3.1;1.9;1.3;0.9;0.4;2.8;18.8;1.0;0.0;-6.1;170 222;1;62.0
Wayne Ellington;DET;1;28;0;9;33;46;13;33;22.0;9.6;3.2;7.3;44.1;2.5;6.0;42.2;0.6;0.8;80.0;0.3;1.6;1.8;1.5;0.7;0.4;0.2;1.3;15.1;0.0;0.0;-1.5;0;0;0.0
Cameron Johnson;PHX;2;11;0;1;25;60;43;17;24.0;9.6;3.4;8.1;42.0;2.0;5.6;34.9;0.8;1.0;84.7;0.6;2.8;3.3;1.4;0.7;0.6;0.3;1.4;17.7;0.0;0.0;2.9;242 947;1;37.0
Eric Paschall;GSW;2;41;0;2;24;40;20;20;17.4;9.5;3.7;7.5;49.7;0.5;1.4;33.3;1.7;2.4;71.3;0.7;2.5;3.2;1.3;1.1;0.3;0.2;1.7;15.6;0.0;0.0;-2.8;0;1;0.0
Taurean Prince;CLE;1;12;0;3;27;41;15;26;22.1;9.5;3.2;8.0;40.1;1.5;3.8;40.0;1.6;1.9;85.5;0.5;3.0;3.5;1.9;1.1;0.7;0.6;1.8;19.0;0.0;0.0;-3.1;237 101;1;35.0
Danny Green;PHI;2;46;0;6;34;69;46;23;28.0;9.5;3.2;7.9;41.2;2.5;6.3;40.5;0.4;0.6;77.5;0.8;3.0;3.8;1.7;1.0;1.3;0.8;1.8;22.0;1.0;0.0;4.5;0;1;0.0
Trevor Ariza;MIA;1;43;0;10;36;30;17;13;28.0;9.4;3.3;8.0;41.1;1.7;4.8;35.0;1.1;1.5;77.3;0.9;3.9;4.8;1.8;0.7;1.0;0.6;1.8;22.1;1.0;0.0;1.3;0;0;0.0
Cody Zeller;CHA;8;4;0;1;28;48;21;27;20.9;9.4;3.8;6.8;55.9;0.1;0.6;14.3;1.8;2.5;71.4;2.5;4.4;6.8;1.8;1.1;0.6;0.4;2.5;22.0;8.0;0.0;0.9;44 596;0;26.0
Larry Nance Jr.;CLE;3;27;0;3;28;35;13;22;31.2;9.3;3.7;7.8;47.1;1.2;3.3;36.0;0.9;1.4;61.2;1.5;5.2;6.7;3.1;1.6;1.7;0.5;2.1;27.1;5.0;0.0;-3.9;0;1;0.0
KJ Martin;HOU;1;52;0;1;20;45;10;35;23.7;9.3;3.6;7.1;50.9;0.8;2.1;36.5;1.3;1.9;71.4;1.6;3.8;5.4;1.1;0.8;0.7;0.9;2.0;21.3;4.0;0.0;-6.3;0;1;0.0
Landry Shamet;BKN;1;26;0;3;24;61;39;22;23.0;9.3;3.0;7.5;40.8;2.1;5.5;38.7;1.1;1.3;84.6;0.2;1.7;1.8;1.6;0.8;0.5;0.2;1.5;15.2;0.0;0.0;0.9;0;1;126.0
Josh Hart;NOP;2;30;0;3;26;47;21;26;28.7;9.2;3.2;7.3;43.9;1.3;4.1;32.6;1.5;1.9;77.5;1.1;6.9;8.0;2.3;1.0;0.8;0.3;2.4;24.5;7.0;0.0;0.0;917 686;1;5.0
Patrick Williams;CHI;1;4;0;1;19;71;30;41;27.9;9.2;3.6;7.4;48.3;0.8;1.9;39.1;1.3;1.8;72.8;0.9;3.7;4.6;1.4;1.4;0.9;0.6;1.8;20.1;3.0;0.0;-4.1;10 331;1;39.0
David Nwaba;HOU;1;61;0;4;28;30;8;22;22.6;9.2;3.5;7.3;48.6;0.6;2.1;27.0;1.6;2.3;69.1;1.3;2.6;3.9;1.0;0.6;1.0;0.7;2.0;20.0;1.0;0.0;-0.9;0;1;0.0
Desmond Bane;MEM;1;30;0;1;23;68;36;32;22.3;9.2;3.4;7.3;46.9;1.7;4.0;43.2;0.6;0.7;81.6;0.5;2.6;3.1;1.7;0.9;0.6;0.2;1.8;17.1;0.0;0.0;0.2;248 402;1;21.0
Furkan Korkmaz;PHI;4;26;0;1;23;55;39;16;19.3;9.1;3.1;7.7;40.1;1.8;4.9;37.5;1.1;1.5;73.2;0.3;1.7;2.1;1.5;0.8;0.9;0.2;1.2;16.1;0.0;0.0;2.6;0;1;0.0
De'Anthony Melton;MEM;2;46;0;2;23;52;27;25;20.1;9.1;3.3;7.6;43.8;1.7;4.1;41.2;0.8;1.0;80.4;0.6;2.5;3.1;2.5;1.3;1.2;0.6;1.6;20.6;1.0;0.0;2.3;99 135;1;0.0
Robin Lopez;WAS;1;15;0;6;33;71;34;37;19.1;9.0;3.8;6.0;63.3;0.1;0.3;27.8;1.4;1.9;72.3;2.0;1.8;3.8;0.8;1.1;0.2;0.6;1.5;16.2;3.0;0.0;-0.2;0;0;0.0
Ivica Zubac;LAC;2;32;0;2;24;72;47;25;22.3;9.0;3.6;5.5;65.2;0.0;0.1;25.0;1.9;2.4;78.9;2.6;4.6;7.2;1.3;1.1;0.3;0.9;2.6;22.0;13.0;0.0;2.5;166 821;1;63.0
Jaylen Nowell;MIN;2;43;0;1;21;42;10;32;18.1;9.0;3.4;8.0;42.4;1.2;3.6;33.3;1.1;1.3;81.8;0.5;1.8;2.3;1.5;0.7;0.5;0.3;1.7;15.7;0.0;0.0;-2.4;53 851;1;0.0
Talen Horton-Tucker;LAL;2;46;0;1;20;65;39;26;20.1;9.0;3.4;7.5;45.8;0.6;2.0;28.2;1.5;2.0;77.5;0.4;2.2;2.6;2.8;1.6;1.0;0.3;2.0;18.6;4.0;0.0;0.2;307 492;1;6.0
Paul Millsap;DEN;4;47;4;4;36;56;38;18;20.8;9.0;3.4;7.2;47.6;0.9;2.6;34.3;1.3;1.8;72.4;1.4;3.3;4.7;1.8;0.9;0.9;0.6;2.0;21.0;2.0;0.0;1.8;0;0;0.0
DeMarcus Cousins;LAC;1;5;4;6;30;41;22;19;17.4;8.9;3.2;7.4;42.6;1.1;3.3;34.8;1.4;2.0;72.8;1.3;5.1;6.4;1.9;1.6;0.8;0.6;2.6;22.1;7.0;0.0;-1.5;0;1;0.0
Michael Carter-Williams;ORL;2;11;0;6;29;31;12;19;25.8;8.8;3.4;8.7;38.9;0.5;2.0;24.6;1.6;2.6;61.3;1.3;3.2;4.5;4.2;2.2;0.8;0.5;2.6;22.3;0.0;0.0;-1.6;0;1;0.0
Bruce Brown;BKN;1;42;0;2;24;65;45;20;22.3;8.8;3.6;6.5;55.6;0.3;0.9;28.8;1.3;1.8;73.5;1.7;3.7;5.4;1.6;0.8;0.9;0.4;2.2;20.8;6.0;0.0;1.1;0;1;0.0
Danuel House Jr.;HOU;3;61;0;3;28;36;8;28;25.9;8.8;3.1;7.6;40.4;1.5;4.3;34.6;1.1;1.8;65.1;0.5;3.2;3.7;1.9;1.0;0.6;0.4;1.9;18.0;0.0;0.0;-6.2;0;1;0.0
