Player;Team;years_with_team;draft_pos;all_star;num_teams;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;ig_followers;resigned;Agent
Edmond Sumner;IND;4;52;0;1;25;53;23;30;16.2;7.5;2.8;5.3;52.5;0.7;1.7;39.8;1.3;1.6;81.9;0.3;1.4;1.8;0.9;1.0;0.6;0.2;1.7;12.5;0.0;0.0;-0.6;0;1;0.0
Patrick Beverley;LAC;4;42;0;2;32;37;25;12;22.5;7.5;2.5;5.9;42.3;1.5;3.8;39.7;1.0;1.2;80.0;0.8;2.4;3.2;2.1;0.9;0.8;0.8;2.9;18.2;0.0;0.0;4.0;0;1;0.0
Malachi Flynn;TOR;1;29;0;1;23;47;21;26;19.7;7.5;2.7;7.2;37.4;1.1;3.6;32.1;1.0;1.2;80.4;0.2;2.3;2.5;2.9;0.9;0.8;0.1;1.4;16.8;1.0;0.0;-2.1;0;1;0.0
Henry Ellenson;TOR;1;18;0;5;24;2;0;2;19.2;7.5;2.5;7.0;35.7;1.0;4.5;22.2;1.5;2.0;75.0;1.5;4.5;6.0;2.5;0.0;0.0;0.0;3.5;18.5;0.0;0.0;3.5;0;1;0.0
Jaxson Hayes;NOP;2;8;0;1;21;60;24;36;16.1;7.5;2.9;4.7;62.5;0.1;0.2;42.9;1.6;2.0;77.5;1.5;2.8;4.3;0.6;0.7;0.4;0.6;1.7;16.0;0.0;0.0;-0.4;307 948;1;10.0
DeAndre Jordan;BKN;2;35;1;5;32;57;37;20;21.9;7.5;3.3;4.4;76.3;0.0;0.0;0.0;0.8;1.6;50.0;2.1;5.4;7.5;1.6;1.5;0.3;1.1;2.0;21.7;6.0;0.0;-0.7;1 814 511;0;30.0
JJ Redick;DAL;1;11;0;6;37;44;22;22;16.4;7.4;2.4;6.1;39.7;1.5;4.0;37.1;1.1;1.2;94.2;0.1;1.4;1.5;1.2;0.8;0.3;0.1;1.1;11.1;0.0;0.0;0.0;0;1;0.0
Jalen Harris;TOR;1;59;0;1;22;13;3;10;13.2;7.4;2.8;5.5;50.0;1.3;2.8;47.2;0.5;0.7;77.8;0.2;1.2;1.4;1.3;1.1;0.6;0.0;1.2;11.8;0.0;0.0;-0.1;0;1;0.0
Jalen McDaniels;CHA;2;52;0;1;23;47;18;29;19.2;7.4;2.8;6.0;46.8;0.7;2.2;33.3;1.0;1.4;70.3;1.0;2.6;3.6;1.1;1.0;0.6;0.4;2.0;15.4;2.0;0.0;-3.8;55 513;1;23.0
Louis King;SAC;1;61;0;2;22;6;3;3;14.2;7.3;2.8;5.7;50.0;0.7;1.8;36.4;1.0;1.0;100.0;0.8;2.2;3.0;1.5;0.7;1.2;0.5;1.5;17.5;0.0;0.0;-0.5;0;1;0.0
JaVale McGee;DEN;1;18;0;6;33;46;21;25;14.7;7.3;3.1;6.1;51.1;0.1;0.5;20.8;1.0;1.5;65.7;1.7;3.5;5.2;0.8;1.3;0.4;1.2;2.6;18.3;1.0;0.0;-1.9;0;0;0.0
James Johnson;NOP;1;16;0;7;34;51;21;30;20.5;7.2;2.9;6.4;44.6;0.6;2.4;25.8;0.9;1.5;59.2;0.6;2.8;3.5;1.9;1.1;0.8;0.8;2.4;18.1;0.0;0.0;-2.5;0;0;49.0
Juancho Hernangomez;MIN;1;15;0;2;25;52;19;33;17.3;7.2;2.5;5.8;43.5;1.1;3.2;32.7;1.2;1.9;61.9;0.9;3.1;3.9;0.7;0.5;0.4;0.1;1.0;13.9;0.0;0.0;-1.4;0;1;0.0
Justin Jackson;MIL;1;15;0;3;26;34;12;22;17.0;7.2;2.6;6.5;40.3;1.1;3.4;30.8;0.9;1.1;83.8;0.5;1.8;2.3;1.5;0.9;0.4;0.1;0.9;12.8;0.0;0.0;-1.2;0;1;0.0
Aaron Holiday;IND;3;23;0;2;24;66;30;36;17.8;7.2;2.6;6.6;39.0;1.0;2.8;36.8;1.0;1.3;81.9;0.2;1.1;1.3;1.9;1.0;0.7;0.2;1.4;13.3;1.0;0.0;0.0;73 858;1;10.0
Khem Birch;TOR;1;61;0;2;28;67;23;44;22.8;7.2;2.8;5.7;49.7;0.2;0.8;25.0;1.4;1.9;70.5;2.6;3.2;5.8;1.3;0.7;0.7;0.7;1.7;19.8;6.0;0.0;-1.9;0;1;0.0
Kent Bazemore;GSW;1;61;0;5;31;67;35;32;19.9;7.2;2.6;5.9;44.9;1.1;2.7;40.8;0.8;1.2;69.2;0.4;3.0;3.4;1.6;1.2;1.0;0.5;2.4;17.0;1.0;0.0;2.5;0;0;0.0
Tony Bradley;OKC;1;28;0;3;23;42;15;27;16.3;7.1;3.1;4.7;66.5;0.0;0.1;0.0;0.9;1.3;69.1;2.0;3.7;5.7;0.9;0.8;0.4;0.7;1.5;17.7;3.0;0.0;-0.4;0;0;127.0
Dewayne Dedmon;MIA;1;61;0;6;31;16;11;5;13.2;7.1;2.9;4.1;70.8;0.1;0.3;20.0;1.3;1.7;74.1;1.8;3.6;5.4;0.8;0.8;0.6;0.4;2.3;16.6;1.0;0.0;4.3;0;1;0.0
Maxi Kleber;DAL;4;61;0;1;29;50;31;19;26.8;7.1;2.3;5.5;42.2;1.7;4.2;41.0;0.7;0.7;91.9;0.9;4.3;5.2;1.4;0.6;0.5;0.7;2.1;18.3;0.0;0.0;2.7;147 126;1;0.0
Draymond Green;GSW;9;35;3;1;31;63;35;28;31.5;7.0;2.7;6.0;44.7;0.5;2.0;27.0;1.1;1.4;79.5;0.9;6.2;7.1;8.9;3.0;1.7;0.8;3.1;33.4;17.0;6.0;3.8;4 120 431;1;6.0
Terance Mann;LAC;2;48;0;1;24;67;45;22;18.9;7.0;2.7;5.2;50.9;0.6;1.4;41.8;1.2;1.4;83.0;0.8;2.8;3.6;1.6;0.6;0.4;0.2;1.9;15.0;2.0;0.0;0.5;158 444;1;0.0
Daniel Gafford;WAS;1;38;0;2;22;54;31;23;14.7;7.0;2.9;4.2;68.4;0.0;0.0;0.0;1.3;2.0;66.7;1.7;2.5;4.3;0.5;0.8;0.5;1.4;1.8;17.8;2.0;0.0;0.9;170 538;1;0.0
Ignas Brazdeikis;ORL;1;47;0;3;22;13;3;10;19.1;7.0;2.7;6.4;42.2;0.8;2.2;39.3;0.8;1.1;71.4;0.8;2.6;3.5;1.3;0.9;0.3;0.2;1.7;13.8;0.0;0.0;-2.1;0;1;0.0
Royce O'Neale;UTA;4;61;0;1;28;71;51;20;31.6;7.0;2.5;5.5;44.4;1.5;3.9;38.5;0.5;0.6;84.8;1.2;5.6;6.8;2.5;1.2;0.8;0.5;2.6;21.6;3.0;0.0;6.6;149 535;1;49.0
Dwight Howard;PHI;1;1;8;7;35;69;46;23;17.3;7.0;2.6;4.4;58.7;0.1;0.3;25.0;1.8;3.0;57.6;2.8;5.7;8.4;0.9;1.6;0.4;0.9;2.9;20.8;12.0;0.0;-1.0;0;0;0.0
Georges Niang;UTA;3;50;0;3;28;72;52;20;16.0;6.9;2.5;5.6;43.7;1.7;4.1;42.5;0.3;0.3;95.7;0.4;2.1;2.4;0.8;0.7;0.3;0.1;1.6;11.8;1.0;0.0;4.9;114 690;0;39.0
R.J. Hampton;ORL;1;24;0;2;20;51;20;31;17.4;6.9;2.7;6.1;43.5;0.5;1.7;31.0;1.1;1.6;67.1;0.6;2.9;3.5;1.7;1.0;0.4;0.2;1.2;14.5;3.0;0.0;-5.6;0;1;0.0
Moritz Wagner;ORL;1;25;0;3;24;45;19;26;16.0;6.9;2.3;5.1;45.4;0.7;2.0;34.1;1.6;1.9;81.6;0.6;2.6;3.2;1.1;1.0;0.6;0.4;2.4;14.4;1.0;0.0;-3.2;0;1;0.0
Justise Winslow;MEM;1;10;0;2;25;26;13;13;19.5;6.8;2.8;8.1;35.2;0.4;2.1;18.5;0.8;1.3;57.1;0.7;3.8;4.5;1.9;1.4;0.6;0.5;1.8;16.9;1.0;0.0;-3.0;0;0;0.0
Derrick Jones Jr.;POR;1;61;0;3;24;58;32;26;22.7;6.8;2.5;5.2;48.4;0.7;2.3;31.6;1.0;1.6;64.8;1.3;2.2;3.5;0.8;0.6;0.6;0.9;2.2;16.4;0.0;0.0;-1.1;0;1;0.0
Gorgui Dieng;SAS;1;21;0;3;31;38;14;24;14.5;6.8;2.2;4.3;52.1;0.8;1.8;42.9;1.5;1.8;86.6;1.1;2.6;3.7;1.3;0.8;0.7;0.4;1.5;15.6;0.0;0.0;-1.8;0;0;0.0
Pat Connaughton;MIL;3;41;0;2;28;69;44;25;22.8;6.8;2.4;5.6;43.4;1.5;3.9;37.1;0.4;0.6;77.5;0.9;3.9;4.8;1.2;0.5;0.7;0.3;1.4;17.0;0.0;0.0;3.2;175 905;1;38.0
Jaden McDaniels;MIN;1;28;0;1;20;63;18;45;24.0;6.8;2.6;5.8;44.7;1.1;3.1;36.4;0.4;0.7;60.0;0.8;2.9;3.7;1.1;0.7;0.6;1.0;2.7;16.7;0.0;0.0;-1.6;151 761;1;10.0
Killian Hayes;DET;1;7;0;1;19;26;6;20;25.8;6.8;2.7;7.7;35.3;0.8;2.8;27.8;0.5;0.7;82.4;0.2;2.4;2.7;5.3;3.2;1.0;0.4;2.2;19.0;0.0;0.0;-5.0;0;1;0.0
Jeff Teague;MIL;1;19;1;6;33;55;27;28;17.3;6.7;2.2;5.2;43.3;0.7;1.5;43.9;1.6;1.9;84.8;0.3;1.3;1.6;2.4;1.2;0.6;0.2;1.0;13.6;0.0;0.0;1.0;0;1;0.0
Ish Smith;WAS;1;61;0;11;32;44;23;21;21.0;6.7;2.9;6.8;43.4;0.4;1.1;36.7;0.4;0.8;57.6;0.5;2.9;3.4;3.9;0.9;0.7;0.3;1.4;18.8;0.0;0.0;1.2;0;1;0.0
Damyean Dotson;CLE;1;44;0;2;27;46;14;32;19.7;6.7;2.6;6.4;40.6;1.0;3.5;28.9;0.5;0.8;66.7;0.1;1.9;2.0;2.0;0.9;0.3;0.1;0.9;12.5;0.0;0.0;-4.7;0;1;0.0
Dennis Smith Jr.;DET;1;9;0;3;23;23;7;16;18.3;6.7;2.5;6.3;40.0;0.8;2.5;32.8;0.8;1.1;73.1;0.5;1.9;2.4;3.3;1.1;1.0;0.6;1.6;18.3;1.0;1.0;-0.8;0;0;0.0
Markieff Morris;LAL;2;13;0;5;31;61;32;29;19.7;6.7;2.5;6.2;40.5;1.1;3.4;31.1;0.6;0.8;72.0;0.8;3.6;4.4;1.2;0.9;0.4;0.3;1.7;14.8;2.0;0.0;0.3;0;0;91.0
Abdel Nader;PHX;1;58;0;2;27;24;16;8;14.8;6.7;2.4;4.8;49.1;0.8;1.8;41.9;1.2;1.5;75.7;0.3;2.3;2.6;0.8;0.8;0.4;0.4;1.4;12.5;0.0;0.0;1.2;0;1;0.0
Spencer Dinwiddie;BKN;5;38;0;2;28;3;2;1;21.4;6.7;2.0;5.3;37.5;0.7;2.3;28.6;2.0;2.0;100.0;0.0;4.3;4.3;3.0;1.7;0.7;0.3;1.3;17.7;0.0;0.0;14.0;328 092;0;0.0
Trey Burke;DAL;1;9;0;5;28;62;35;27;14.7;6.6;2.4;5.7;42.8;0.9;2.6;35.4;0.8;0.9;89.5;0.2;0.7;0.9;1.3;0.5;0.6;0.1;1.0;11.2;0.0;0.0;0.2;0;1;0.0
Nic Claxton;BKN;2;31;0;1;22;32;23;9;18.6;6.6;2.8;4.5;62.1;0.0;0.2;20.0;1.0;2.0;48.4;1.3;3.8;5.2;0.9;0.6;0.7;1.3;2.1;19.5;1.0;0.0;4.9;0;1;0.0
Xavier Tillman;MEM;1;35;0;1;22;59;31;28;18.4;6.6;2.8;5.1;55.9;0.4;1.1;33.8;0.6;0.9;64.2;1.3;3.1;4.3;1.3;0.8;0.7;0.6;2.0;16.9;2.0;0.0;0.6;0;1;109.0
Alex Len;WAS;1;5;0;5;28;64;30;34;15.3;6.6;2.7;4.3;61.5;0.1;0.4;32.0;1.1;1.8;62.9;1.2;2.8;4.1;0.8;0.9;0.3;1.0;2.0;15.7;2.0;0.0;-1.5;140 162;0;130.0
Frank Kaminsky;PHX;2;9;0;3;28;47;33;14;15.2;6.6;2.6;5.5;47.1;0.7;1.8;36.5;0.8;1.3;61.7;0.8;3.2;4.0;1.7;0.5;0.3;0.4;1.5;15.4;2.0;0.0;1.2;0;1;0.0
Denzel Valentine;CHI;4;14;0;1;27;62;26;36;16.7;6.5;2.5;6.7;37.3;1.3;3.9;33.1;0.3;0.3;94.1;0.4;2.8;3.2;1.7;0.7;0.5;0.1;1.1;14.0;0.0;0.0;0.7;0;0;0.0
Damion Lee;GSW;3;61;0;2;28;57;28;29;18.9;6.5;2.2;4.8;46.7;1.4;3.4;39.7;0.7;0.8;90.9;0.4;2.8;3.2;1.3;0.5;0.7;0.1;1.6;14.1;0.0;0.0;0.7;277 370;1;24.0
Nemanja Bjelica;MIA;1;35;0;3;33;37;16;21;16.1;6.5;2.4;5.3;45.4;0.7;2.3;31.8;1.0;1.4;72.5;0.8;2.6;3.4;1.9;0.9;0.4;0.1;1.8;14.2;0.0;0.0;-1.8;0;0;0.0
Marquese Chriss;GSW;2;8;0;4;23;2;0;2;13.4;6.5;2.5;7.0;35.7;0.5;2.5;20.0;1.0;2.0;50.0;1.5;5.0;6.5;1.0;1.0;0.0;1.0;1.5;17.8;0.0;0.0;-12.5;0;1;0.0
Chasson Randle;ORL;1;61;0;5;28;41;10;31;20.4;6.5;2.2;5.8;38.8;1.1;3.2;33.8;0.9;1.2;79.2;0.2;1.8;2.0;1.8;1.1;0.5;0.1;1.6;12.4;0.0;0.0;-6.5;0;0;0.0
Avery Bradley;HOU;1;19;0;7;30;27;6;21;22.3;6.4;2.4;6.3;37.4;1.2;3.7;32.7;0.4;0.6;80.0;0.3;1.8;2.1;1.7;1.0;0.8;0.1;2.0;13.1;0.0;0.0;-4.9;0;0;0.0
Alex Caruso;LAL;4;61;0;1;27;58;32;26;21.0;6.4;2.3;5.3;43.6;0.9;2.4;40.1;0.8;1.3;64.5;0.5;2.4;2.9;2.8;1.3;1.1;0.3;1.9;16.8;0.0;0.0;2.1;1 381 274;0;14.0
Timothe Luwawu-Cabarrot;BKN;2;24;0;4;26;58;38;20;18.1;6.4;2.2;6.1;36.5;1.3;4.1;31.4;0.6;0.7;81.4;0.5;1.7;2.2;1.2;0.7;0.6;0.1;1.7;12.1;0.0;0.0;-0.4;0;0;0.0
Kira Lewis Jr.;NOP;1;13;0;1;20;54;23;31;16.7;6.4;2.4;6.2;38.6;0.7;2.2;33.3;0.8;0.9;84.3;0.2;1.1;1.3;2.3;0.6;0.7;0.2;1.6;13.4;0.0;0.0;0.4;0;1;0.0
Deni Avdija;WAS;1;9;0;1;20;54;25;29;23.3;6.3;2.4;5.8;41.7;1.0;3.1;31.5;0.5;0.8;64.4;0.4;4.4;4.9;1.2;0.6;0.6;0.3;2.6;15.9;2.0;0.0;-1.5;258 107;1;53.0
Tyus Jones;MEM;2;24;0;2;25;70;36;34;17.5;6.3;2.5;5.9;43.1;0.6;2.0;32.1;0.6;0.6;91.1;0.3;1.7;2.0;3.7;0.7;0.9;0.1;0.4;16.6;2.0;0.0;-1.2;406 023;1;0.0
Chimezie Metu;SAC;1;49;0;2;24;36;14;22;13.6;6.3;2.5;5.0;50.8;0.4;1.0;35.1;0.9;1.2;72.1;0.9;2.3;3.1;0.8;0.8;0.4;0.5;1.6;13.0;0.0;0.0;-1.6;0;1;0.0
Frank Mason III;ORL;1;34;0;3;27;4;1;3;19.8;6.3;2.3;6.0;37.5;0.5;1.3;40.0;1.3;1.8;71.4;0.8;2.3;3.0;3.0;1.3;0.0;0.0;1.8;13.1;0.0;0.0;-4.8;0;1;0.0
Robert Franks;ORL;1;61;0;1;24;7;0;7;14.4;6.1;1.9;4.0;46.4;0.7;2.1;33.3;1.7;1.9;92.3;0.9;1.1;2.0;0.7;0.3;0.4;0.4;1.1;11.9;0.0;0.0;-3.6;0;1;0.0
Aron Baynes;TOR;1;61;0;5;34;53;20;33;18.5;6.1;2.5;5.7;44.1;0.5;1.9;26.2;0.5;0.8;70.7;1.6;3.5;5.2;0.9;0.9;0.3;0.4;2.2;15.0;2.0;0.0;-1.5;0;1;0.0
Jaylen Hoard;OKC;1;61;0;2;22;19;1;18;16.8;6.1;2.3;4.6;50.0;0.0;0.6;0.0;1.5;2.2;68.3;1.1;2.3;3.4;1.3;0.9;0.7;0.3;1.0;14.1;0.0;0.0;-3.3;0;1;0.0
Facundo Campazzo;DEN;1;61;0;1;30;65;43;22;21.9;6.1;1.8;4.8;38.1;1.2;3.3;35.2;1.2;1.4;87.9;0.3;1.7;2.1;3.6;1.1;1.2;0.2;2.0;17.1;1.0;0.0;1.2;0;1;0.0
Max Strus;MIA;1;61;0;2;25;39;14;25;13.0;6.1;2.2;4.8;45.5;1.3;3.8;33.8;0.4;0.6;66.7;0.1;0.9;1.1;0.6;0.2;0.3;0.1;1.1;9.0;0.0;0.0;-1.0;163 281;1;0.0
Dakota Mathias;PHI;1;61;0;2;25;8;4;4;15.4;6.0;2.4;6.0;39.6;1.0;3.3;30.8;0.3;0.8;33.3;0.1;0.8;0.9;1.6;0.1;0.1;0.4;0.9;10.9;0.0;0.0;-3.9;0;1;0.0
Dean Wade;CLE;2;61;0;1;24;63;19;44;19.2;6.0;2.1;4.9;43.1;1.2;3.4;36.6;0.5;0.6;76.9;0.6;2.8;3.4;1.2;0.5;0.6;0.3;1.2;14.0;1.0;0.0;-3.5;44 630;1;0.0
Dwight Powell;DAL;7;45;0;2;29;58;36;22;16.6;5.9;2.1;3.3;61.9;0.1;0.4;23.8;1.7;2.1;78.2;1.4;2.7;4.0;1.1;0.7;0.6;0.5;2.3;15.1;1.0;0.0;1.3;114 038;1;28.0
Drew Eubanks;SAS;3;61;0;1;24;54;21;33;14.0;5.8;2.1;3.8;56.6;0.0;0.0;100.0;1.4;2.0;72.6;1.4;3.1;4.5;0.8;0.8;0.3;0.9;1.6;15.2;3.0;0.0;-1.8;36 007;1;0.0
DeAndre' Bembry;TOR;1;21;0;2;26;51;23;28;19.1;5.7;2.3;4.5;51.3;0.3;1.0;26.4;0.9;1.3;68.2;0.6;2.2;2.9;2.1;1.4;1.0;0.4;1.7;15.1;0.0;0.0;0.1;0;0;0.0
Jordan Nwora;MIL;1;45;0;1;22;30;19;11;9.1;5.7;2.1;4.5;45.9;0.9;2.1;45.2;0.6;0.8;76.0;0.3;1.7;2.0;0.2;0.8;0.6;0.3;0.7;10.2;2.0;0.0;-0.1;0;1;0.0
Rodney McGruder;DET;1;61;0;3;29;16;3;13;12.1;5.7;2.3;4.4;52.9;0.7;1.5;45.8;0.4;0.5;75.0;0.5;0.9;1.4;1.0;0.4;0.5;0.1;0.8;10.1;0.0;0.0;-1.1;0;1;0.0
Juan Toscano-Anderson;GSW;2;61;0;1;28;53;28;25;20.9;5.7;2.3;3.9;57.9;0.7;1.7;40.2;0.4;0.6;71.0;0.5;3.9;4.4;2.8;1.2;0.8;0.5;2.1;17.9;0.0;0.0;1.8;0;1;0.0
Mychal Mulder;GSW;2;61;0;2;27;60;33;27;12.8;5.6;2.0;4.4;44.9;1.4;3.6;39.7;0.2;0.4;63.6;0.1;0.9;1.0;0.4;0.3;0.2;0.2;0.9;8.4;0.0;0.0;1.1;0;1;0.0
Donta Hall;ORL;1;61;0;2;23;13;3;10;13.8;5.6;1.9;2.7;71.4;0.0;0.0;0.0;1.8;2.6;67.6;1.8;2.9;4.8;0.8;0.6;0.4;0.8;1.4;15.5;1.0;0.0;-1.5;0;1;0.0
Yogi Ferrell;LAC;1;61;0;5;28;10;4;6;13.7;5.6;2.0;5.7;35.1;0.9;2.8;32.1;0.7;0.9;77.8;0.5;1.4;1.9;2.2;0.3;0.7;0.3;1.1;13.9;0.0;0.0;-0.1;0;1;0.0
Saben Lee;DET;1;38;0;1;22;48;14;34;16.3;5.6;2.1;4.4;47.1;0.2;0.5;34.8;1.3;1.9;68.5;0.4;1.6;2.0;3.6;1.1;0.7;0.3;1.6;15.1;0.0;0.0;-1.9;0;1;0.0
Freddie Gillespie;TOR;1;61;0;1;24;20;7;13;19.6;5.6;2.2;4.2;52.4;0.0;0.0;0.0;1.2;1.7;69.7;2.1;2.8;4.9;0.5;0.6;0.7;1.0;2.2;16.4;0.0;0.0;-3.9;0;1;0.0
Anthony Lamb;HOU;1;61;0;1;23;24;3;21;17.3;5.5;1.9;4.9;39.0;1.0;3.0;32.4;0.8;0.9;85.7;1.1;1.8;2.9;1.0;0.8;0.3;0.2;1.4;11.1;0.0;0.0;-3.7;0;1;0.0
Jabari Parker;BOS;1;2;0;6;26;13;4;9;12.7;5.5;2.3;4.2;54.5;0.2;0.8;18.2;0.8;1.0;76.9;0.8;2.5;3.2;0.8;0.8;0.1;0.4;1.0;11.3;0.0;0.0;-1.1;0;1;0.0
Garrison Mathews;WAS;2;61;0;2;24;64;32;32;16.2;5.5;1.5;3.7;40.9;1.2;3.1;38.4;1.3;1.5;88.4;0.3;1.1;1.4;0.4;0.2;0.5;0.1;1.7;9.3;0.0;0.0;-2.1;15 090;0;0.0
Brad Wanamaker;CHA;1;61;0;2;31;61;29;32;17.3;5.5;1.9;4.9;38.5;0.3;1.4;18.8;1.5;1.7;89.1;0.3;1.4;1.7;2.9;1.2;0.7;0.2;1.5;13.3;0.0;0.0;-2.1;0;1;0.0
Devin Vassell;SAS;1;11;0;1;20;62;30;32;17.0;5.5;2.0;4.9;40.6;0.8;2.4;34.7;0.7;0.8;84.3;0.4;2.4;2.8;0.9;0.4;0.7;0.3;1.4;12.8;0.0;0.0;-1.0;108 713;1;31.0
Torrey Craig;PHX;1;61;0;4;30;50;33;17;16.1;5.5;2.2;4.5;48.0;0.8;2.1;36.8;0.3;0.4;77.3;1.1;2.8;3.9;1.0;0.5;0.6;0.5;1.7;14.5;2.0;0.0;-1.9;136 870;0;9.0
Derrick Favors;UTA;1;3;0;2;29;68;49;19;15.3;5.4;2.3;3.6;63.8;0.0;0.0;0.0;0.9;1.2;73.8;2.0;3.5;5.5;0.6;0.5;0.5;1.0;2.1;16.9;1.0;0.0;0.5;0;1;0.0
Justin Patton;HOU;1;16;0;4;24;13;1;12;19.0;5.4;2.2;5.4;41.4;0.7;2.6;26.5;0.2;0.3;75.0;1.1;2.7;3.8;1.1;0.3;0.9;1.1;2.6;17.2;0.0;0.0;-6.2;0;1;0.0
Tyler Johnson;BKN;1;61;0;2;29;39;29;10;17.5;5.4;1.8;4.7;39.3;1.2;3.4;36.4;0.5;0.5;85.7;0.2;1.8;2.0;1.2;0.4;0.4;0.0;1.1;10.2;0.0;0.0;1.2;0;1;0.0
Rajon Rondo;LAC;1;21;4;8;35;45;28;17;17.1;5.4;2.1;4.8;44.2;0.8;2.0;40.4;0.4;0.4;94.1;0.4;2.0;2.4;4.4;1.8;0.8;0.1;1.2;15.9;0.0;0.0;0.5;0;0;0.0
Jarred Vanderbilt;MIN;1;41;0;2;22;64;18;46;17.8;5.4;2.2;3.7;60.6;0.0;0.1;20.0;0.9;1.6;55.9;1.8;3.9;5.8;1.2;0.8;1.0;0.7;1.9;18.4;3.0;0.0;-0.8;468 532;1;6.0
Jahlil Okafor;DET;1;3;0;4;25;27;5;22;12.9;5.4;2.3;3.8;61.8;0.1;0.3;22.2;0.6;0.9;70.8;0.9;1.6;2.4;0.5;0.8;0.2;0.2;1.4;9.5;0.0;0.0;-3.1;0;0;0.0
Josh Okogie;MIN;3;20;0;1;22;59;21;38;20.3;5.4;1.7;4.3;40.2;0.5;1.8;26.9;1.4;1.8;76.9;1.1;1.6;2.6;1.1;0.7;0.9;0.5;2.1;13.6;0.0;0.0;-3.3;106 777;1;40.0
Taj Gibson;NYK;2;26;0;5;36;45;29;16;20.8;5.4;2.2;3.5;62.7;0.1;0.3;20.0;0.9;1.2;72.7;2.2;3.4;5.6;0.8;0.5;0.7;1.1;2.2;18.1;0.0;0.0;2.9;400 231;1;49.0
Tony Snell;ATL;1;20;0;4;29;47;29;18;21.1;5.3;1.9;3.6;51.5;1.3;2.3;56.9;0.2;0.2;100.0;0.4;2.0;2.4;1.3;0.4;0.3;0.2;1.6;11.1;0.0;0.0;1.4;0;0;0.0
Jarrett Culver;MIN;2;6;0;1;22;34;7;27;14.7;5.3;2.0;4.9;41.1;0.4;1.6;24.5;0.9;1.4;60.4;1.0;2.1;3.1;0.7;0.8;0.5;0.3;1.7;11.5;1.0;0.0;-3.9;0;1;0.0
Willie Cauley-Stein;DAL;2;6;0;3;27;53;29;24;17.1;5.3;2.2;3.4;63.2;0.0;0.2;9.1;0.9;1.5;62.8;1.2;3.2;4.5;0.7;0.5;0.4;0.8;2.4;14.7;1.0;0.0;2.6;0;1;0.0
Glenn Robinson III;SAC;1;40;0;5;27;23;9;14;16.1;5.3;1.8;4.3;42.4;0.7;1.9;36.4;0.9;1.0;91.3;0.5;1.5;2.0;0.9;0.5;0.2;0.1;1.0;9.3;0.0;0.0;-5.7;0;1;0.0
Mason Jones;PHI;1;61;0;2;22;32;10;22;10.5;5.3;1.6;3.8;42.3;0.8;2.1;36.4;1.3;2.0;62.5;0.2;1.5;1.7;1.3;0.9;0.2;0.0;0.8;9.1;0.0;0.0;-2.8;27 221;1;0.0
Maurice Harkless;SAC;1;15;0;5;28;37;16;21;20.9;5.2;1.9;4.5;41.8;0.6;2.3;27.4;0.9;1.2;76.7;0.4;2.1;2.4;1.2;0.6;0.8;0.5;2.3;13.4;0.0;0.0;-1.2;0;1;0.0
D.J. Wilson;HOU;1;17;0;2;25;35;13;22;12.4;5.2;1.9;4.8;40.5;0.9;2.5;34.5;0.5;0.7;68.0;0.6;2.6;3.2;0.7;0.6;0.3;0.5;1.3;11.7;1.0;0.0;-3.0;0;1;0.0
Alize Johnson;BKN;1;50;0;3;25;18;10;8;10.5;5.2;2.2;3.8;58.8;0.1;0.3;16.7;0.7;0.7;100.0;1.5;3.5;5.0;0.8;0.5;0.3;0.3;0.9;13.6;2.0;0.0;-1.0;0;0;0.0
Dylan Windler;CLE;1;26;0;1;24;31;11;20;16.5;5.2;1.8;4.2;43.8;0.8;2.5;33.8;0.7;0.9;77.8;0.6;2.8;3.5;1.1;1.0;0.6;0.4;1.2;12.9;1.0;0.0;-2.0;0;1;0.0
Patrick Patterson;LAC;1;14;0;5;32;38;26;12;15.3;5.2;1.9;4.3;43.6;1.1;2.9;35.7;0.3;0.4;76.5;0.5;1.5;2.0;0.8;0.3;0.4;0.2;1.2;10.1;0.0;0.0;0.6;0;0;0.0
Goga Bitadze;IND;2;18;0;1;21;45;19;26;12.5;5.1;1.8;4.3;42.8;0.4;1.8;25.3;1.0;1.4;73.8;1.3;2.0;3.3;0.8;0.4;0.2;1.3;2.1;14.6;0.0;0.0;-0.4;48 950;1;47.0
Jake Layman;MIN;2;47;0;2;27;45;12;33;13.9;5.1;2.0;4.1;49.5;0.5;1.7;29.5;0.6;0.8;70.3;0.3;1.2;1.5;0.6;0.6;0.6;0.4;1.0;10.5;0.0;0.0;-1.8;0;1;0.0
Isaiah Hartenstein;CLE;1;43;0;3;23;46;20;26;12.1;5.1;2.0;3.7;55.0;0.0;0.1;33.3;1.0;1.5;64.8;1.4;2.5;3.9;1.2;1.0;0.4;0.8;2.3;14.5;1.0;0.0;0.0;163 420;1;17.0
Sekou Doumbouya;DET;2;15;0;1;20;56;15;41;15.5;5.1;1.9;5.0;37.9;0.5;2.1;22.6;0.8;1.1;70.3;0.7;1.9;2.6;0.8;0.8;0.4;0.2;1.7;10.4;0.0;0.0;-2.4;0;1;0.0
